Project,Rule,Failed Control
dp-fw-ide-02-6627,fdn-vpc-auto-allow-https,ip_range: 0.0.0.0
dp-fw-ide-02-6627,ssh-test,ip_range: 0.0.0.0
dp-fw-ide-02-6627,ssh-test,bad port(s) found: ['tcp:22']
dp-api-ide-02-59ef,cumulus-allow-http,ip_range: 0.0.0.0
dp-api-ide-02-59ef,cumulus-allow-http,bad port(s) found: ['tcp:80']
dp-api-ide-02-59ef,cumulus-allow-https,ip_range: 0.0.0.0
dp-api-ide-02-59ef,cumulus-allow-icmp,ip_range: 0.0.0.0
dp-api-ide-02-59ef,cumulus-allow-internal,tcp/udp:all ports
dp-api-ide-02-59ef,cumulus-allow-rdp,ip_range: 0.0.0.0
dp-api-ide-02-59ef,cumulus-allow-rdp,bad port(s) found: ['tcp:3389']
dp-api-ide-02-59ef,cumulus-allow-ssh,ip_range: 0.0.0.0
dp-api-ide-02-59ef,cumulus-allow-ssh,bad port(s) found: ['tcp:22']
dp-api-ide-02-59ef,gke-kafka-cluster-58ab0380-all,tcp:all ports
dp-api-ide-02-59ef,gke-kafka-cluster-58ab0380-all,udp:all ports
dp-api-ide-02-59ef,gke-kafka-cluster-58ab0380-ssh,public target: 35.246.46.133/32
dp-api-ide-02-59ef,gke-kafka-cluster-58ab0380-ssh,bad port(s) found: ['tcp:22']
dp-api-ide-02-59ef,gke-kafka-cluster-58ab0380-vms,bad port(s) found: ['udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535_x', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535', 'udp:1-65535']
dp-api-ide-02-59ef,gke-kafka-cluster-58ab0380-vms,bad port(s) found: ['tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535_x', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535', 'tcp:1-65535']
dp-api-ide-02-59ef,k8s-69e32d06bf4f6b16-node-http-hc,public target: 130.211.0.0/22
dp-api-ide-02-59ef,k8s-69e32d06bf4f6b16-node-http-hc,public target: 35.191.0.0/16
dp-api-ide-02-59ef,k8s-69e32d06bf4f6b16-node-http-hc,public target: 209.85.152.0/22
dp-api-ide-02-59ef,k8s-69e32d06bf4f6b16-node-http-hc,public target: 209.85.204.0/22
dp-api-ide-02-59ef,k8s-a245b4554d24a5a7-node-http-hc,public target: 130.211.0.0/22
dp-api-ide-02-59ef,k8s-a245b4554d24a5a7-node-http-hc,public target: 35.191.0.0/16
